                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.0876,                 1.8527,                 1.3558,                 1.2613,                0.87575,                0.82311,                   0.92,                0.68123,                0.87903,                0.82407,                0.91835,                0.61351,                0.89772,                 1.5533,                 1.3587,                  1.273,              0.0012067,              0.0012067,              0.0012067
                     14,                 1.0547,                 1.6581,                 1.3602,                 1.2551,                0.82919,                0.77049,                0.89677,                0.64774,                0.83836,                0.77286,                0.89876,                 0.5949,                0.93585,                 1.4686,                  1.435,                 1.2793,              0.0011865,              0.0011865,              0.0011865
                     15,                 1.0385,                 1.7455,                 1.2729,                 1.2172,                0.90512,                0.83728,                0.95323,                0.70357,                0.90142,                0.83407,                0.95105,                0.63902,                0.91316,                 1.4553,                  1.261,                 1.2567,              0.0011663,              0.0011663,              0.0011663
                     16,                 1.0031,                 1.5979,                 1.2612,                 1.2332,                0.93267,                0.90753,                0.97017,                0.74855,                0.93267,                0.90753,                0.97041,                0.69038,                0.83269,                 1.4005,                 1.2146,                 1.1777,              0.0011461,              0.0011461,              0.0011461
                     17,                0.91694,                  1.587,                 1.1565,                 1.1396,                0.90278,                0.93191,                0.97054,                0.75457,                0.90278,                0.93191,                0.97077,                0.69982,                0.82262,                 1.3597,                 1.1514,                 1.1955,              0.0011258,              0.0011258,              0.0011258
                     18,                0.84884,                 1.4428,                 1.1099,                 1.1477,                 0.9479,                0.91446,                0.97168,                0.76041,                 0.9479,                0.91446,                0.97149,                0.70992,                0.79742,                 1.3025,                 1.1138,                 1.1989,              0.0011056,              0.0011056,              0.0011056
                     19,                0.93337,                 1.4995,                 1.1684,                 1.1797,                0.95335,                0.90608,                0.97174,                0.77289,                0.95335,                0.90608,                 0.9711,                0.74594,                0.78906,                 1.1675,                 1.0912,                 1.1441,              0.0010854,              0.0010854,              0.0010854
                     20,                 0.9462,                 1.4955,                 1.1476,                 1.1641,                0.91683,                0.92571,                0.96277,                0.76496,                0.91303,                0.92179,                0.95662,                0.72276,                0.78847,                 1.1604,                 1.1731,                 1.1402,              0.0010652,              0.0010652,              0.0010652
                     21,                0.96971,                 1.5082,                  1.168,                 1.2443,                 0.9012,                0.87032,                0.93819,                0.73339,                0.89743,                 0.8664,                0.93282,                0.68234,                0.80326,                 1.1775,                 1.1703,                 1.1653,               0.001045,               0.001045,               0.001045
                     22,                0.89223,                 1.3579,                 1.1263,                 1.1705,                0.93041,                0.96894,                0.98451,                0.77913,                0.93041,                0.96894,                0.98077,                0.75223,                0.77085,                 1.1098,                0.98718,                 1.1321,              0.0010248,              0.0010248,              0.0010248
                     23,                0.86983,                  1.342,                 1.0462,                 1.1147,                 0.9596,                0.96546,                 0.9866,                0.78748,                 0.9596,                0.96546,                0.98561,                0.76539,                0.76195,                 1.0683,                 0.9902,                 1.1199,              0.0010046,              0.0010046,              0.0010046
                     24,                0.88876,                 1.3296,                 1.0773,                 1.1218,                0.94854,                 0.9624,                0.98389,                0.78201,                0.94854,                 0.9624,                 0.9832,                0.75953,                0.77824,                  1.088,                   1.01,                 1.1391,             0.00098438,             0.00098438,             0.00098438
                     25,                0.89243,                  1.527,                 1.0543,                 1.1339,                0.95273,                 0.9763,                0.97991,                0.79746,                0.95039,                0.97848,                0.98113,                0.73514,                0.72781,                 1.1437,                 0.9553,                 1.0837,             0.00096417,             0.00096417,             0.00096417
                     26,                0.94158,                 1.4808,                 1.0631,                 1.1814,                0.96411,                0.96832,                0.98101,                0.79216,                0.96411,                0.96832,                0.98269,                0.70589,                0.75513,                 1.2416,                0.97222,                 1.0948,             0.00094396,             0.00094396,             0.00094396
                     27,                0.87876,                 1.2757,                0.99906,                 1.1038,                0.94784,                0.96397,                0.98196,                0.79715,                0.94784,                0.96397,                0.98359,                0.72971,                0.74393,                 1.1986,                0.94634,                 1.0886,             0.00092375,             0.00092375,             0.00092375
                     28,                0.83613,                 1.3273,                0.97993,                 1.1309,                0.96134,                0.96943,                0.98436,                0.81202,                0.95187,                0.97436,                0.98118,                0.76427,                0.71971,                 1.0594,                0.91476,                 1.0942,             0.00090354,             0.00090354,             0.00090354
                     29,                 0.8775,                 1.2625,                 1.1142,                 1.1628,                0.96985,                0.97518,                0.98543,                 0.8154,                0.96758,                0.98077,                0.98195,                0.75736,                 0.7024,                 1.0412,                0.93633,                 1.0745,             0.00088333,             0.00088333,             0.00088333
                     30,                0.81562,                 1.2796,                 0.9805,                 1.1037,                0.97101,                0.97288,                0.98558,                0.82196,                 0.9732,                 0.9767,                0.98283,                0.76126,                0.68949,                 1.0473,                0.94191,                 1.0595,             0.00086312,             0.00086312,             0.00086312
                     31,                0.81291,                 1.3375,                0.96641,                 1.0713,                 0.9714,                 0.9723,                0.98372,                0.81426,                0.96808,                0.96909,                0.98115,                 0.7682,                0.68659,                 1.0043,                 0.8955,                 1.0597,             0.00084291,             0.00084291,             0.00084291
                     32,                0.80629,                 1.3101,                 0.9629,                 1.1233,                0.96653,                0.96919,                0.98353,                0.82395,                0.96327,                0.96599,                0.97872,                0.76608,                0.68141,                0.99795,                0.92931,                 1.0514,              0.0008227,              0.0008227,              0.0008227
                     33,                0.81709,                 1.3086,                0.96792,                 1.1239,                0.94986,                0.97843,                0.98174,                0.82047,                0.94784,                0.98016,                0.97656,                0.75134,                0.67004,                 1.0901,                0.98234,                 1.0324,             0.00080249,             0.00080249,             0.00080249
                     34,                0.81089,                 1.2759,                 0.9055,                 1.0447,                0.95418,                0.98095,                0.98361,                0.81521,                0.95095,                0.97851,                0.97938,                0.73511,                 0.6641,                 1.1837,                0.92192,                 1.0137,             0.00078228,             0.00078228,             0.00078228
                     35,                0.79926,                 1.2785,                0.89326,                 1.0798,                0.97264,                0.96676,                0.98543,                0.82448,                0.97264,                0.96676,                0.98478,                0.76518,                0.64764,                 1.0695,                0.84974,                 1.0151,             0.00076207,             0.00076207,             0.00076207
                     36,                0.75498,                  1.177,                0.92228,                 1.0724,                0.97181,                0.96892,                0.98707,                0.83611,                0.97181,                0.96892,                0.98693,                0.76925,                0.64242,                 1.0192,                0.86562,                 1.0164,             0.00074186,             0.00074186,             0.00074186
                     37,                0.79379,                 1.1848,                0.92587,                 1.0814,                0.96077,                0.95549,                0.98483,                0.82747,                0.96401,                 0.9587,                 0.9859,                0.77305,                0.64474,                0.95552,                0.88247,                 1.0282,             0.00072164,             0.00072164,             0.00072164
                     38,                0.77819,                 1.1463,                0.90849,                 1.0724,                0.96193,                0.96246,                0.98454,                0.83279,                0.96526,                0.96567,                0.98566,                0.77551,                0.62679,                 0.9293,                0.82055,                   1.01,             0.00070143,             0.00070143,             0.00070143
                     39,                0.75901,                 1.1596,                0.85613,                 1.0498,                0.96958,                0.95513,                0.98487,                 0.8443,                0.96554,                0.95192,                0.97706,                0.77206,                0.60415,                0.92638,                0.81868,                 0.9918,             0.00068122,             0.00068122,             0.00068122
                     40,                0.75604,                 1.1051,                0.87106,                   1.07,                0.96827,                0.97178,                0.98726,                0.83843,                 0.9715,                0.97498,                0.98739,                0.78276,                0.62446,                0.93912,                0.82498,                 1.0153,             0.00066101,             0.00066101,             0.00066101
                     41,                0.74366,                 1.1202,                0.87308,                 1.0632,                0.95728,                0.98525,                0.98733,                0.84604,                0.98689,                0.96902,                0.98775,                0.79849,                0.60439,                 0.9082,                0.79916,                0.99915,              0.0006408,              0.0006408,              0.0006408
                     42,                0.78104,                 1.2024,                0.88933,                 1.0779,                0.95813,                0.98481,                0.98578,                0.85585,                0.98768,                0.96046,                0.98751,                0.80259,                0.59809,                0.89711,                0.79322,                0.98844,             0.00062059,             0.00062059,             0.00062059
                     43,                0.76607,                 1.1431,                0.88252,                 1.0252,                 0.9741,                0.95146,                0.98425,                 0.8296,                0.98414,                 0.9607,                0.98685,                0.80922,                0.65696,                  0.907,                0.86896,                 1.0156,             0.00060038,             0.00060038,             0.00060038
                     44,                0.72589,                 1.1055,                0.85019,                 1.0073,                0.95792,                0.97708,                0.98539,                0.83415,                0.96896,                0.98285,                0.98706,                0.81154,                0.64167,                0.89845,                0.83495,                0.99901,             0.00058017,             0.00058017,             0.00058017
                     45,                0.70598,                 1.0634,                0.80093,                 1.0328,                0.96136,                0.97115,                0.98581,                0.83976,                0.96136,                0.97115,                0.98593,                0.80387,                 0.6068,                0.87994,                0.77733,                0.99298,             0.00055996,             0.00055996,             0.00055996
                     46,                0.74781,                 1.0993,                 0.8469,                 1.0574,                0.96492,                0.96625,                0.98604,                0.83862,                0.96492,                0.96625,                0.98604,                0.79416,                0.61319,                0.87253,                0.78731,                 1.0025,             0.00053975,             0.00053975,             0.00053975
                     47,                0.68791,                 1.0927,                0.79467,                 1.0258,                0.96361,                0.96244,                0.98597,                0.83381,                0.96656,                0.96602,                0.98653,                0.79759,                 0.6171,                0.86465,                0.77777,                 1.0083,             0.00051954,             0.00051954,             0.00051954
                     48,                0.72562,                 1.0761,                0.79889,                 1.0409,                 0.9626,                0.95949,                0.98734,                0.83436,                0.98261,                0.95779,                0.98616,                  0.805,                0.62472,                0.85847,                0.76358,                 1.0037,             0.00049933,             0.00049933,             0.00049933
                     49,                0.72886,                 1.1208,                0.81669,                 1.0748,                0.95867,                0.96973,                0.98804,                0.83799,                0.96246,                0.97127,                0.98728,                0.80885,                0.60891,                0.86421,                0.75228,                0.98607,             0.00047912,             0.00047912,             0.00047912
                     50,                0.72911,                 1.1099,                0.83589,                 1.0521,                0.96629,                0.95648,                0.98882,                0.84621,                0.96629,                0.95648,                0.98772,                0.80872,                0.58085,                0.86338,                0.73237,                0.96415,             0.00045891,             0.00045891,             0.00045891
                     51,                 0.7228,                 1.0857,                0.81856,                  1.031,                0.97237,                0.96049,                0.98892,                0.85544,                0.97237,                0.96049,                 0.9877,                0.81157,                0.56185,                0.86019,                0.72062,                0.95354,              0.0004387,              0.0004387,              0.0004387
                     52,                0.66236,                 1.0481,                0.75733,                 1.0218,                0.96984,                0.97232,                0.98912,                0.86197,                0.96984,                0.97232,                 0.9878,                0.81792,                0.55204,                0.84417,                 0.7102,                0.94826,             0.00041849,             0.00041849,             0.00041849
                     53,                0.68033,                 1.0432,                0.73929,                0.99718,                0.97151,                0.96673,                0.98948,                0.86998,                0.97151,                0.96673,                0.98805,                0.82174,                0.54549,                0.82993,                0.70469,                0.94286,             0.00039828,             0.00039828,             0.00039828
                     54,                0.65574,                 1.0056,                0.75838,                0.99499,                0.97174,                0.97458,                0.99035,                0.86253,                0.97174,                0.97458,                0.98875,                 0.8284,                0.55456,                0.83153,                0.71197,                0.94194,             0.00037807,             0.00037807,             0.00037807
                     55,                0.66397,                 1.0023,                0.71905,                0.99684,                0.97566,                0.97828,                0.99117,                0.86874,                0.97566,                0.97828,                0.99117,                0.83266,                0.55013,                0.81845,                 0.7082,                 0.9387,             0.00035786,             0.00035786,             0.00035786
                     56,                0.63127,                 1.0182,                0.69748,                0.97725,                0.98251,                0.97769,                0.99132,                0.87733,                0.98251,                0.97769,                0.99132,                0.82505,                0.53834,                0.80971,                0.69487,                0.93386,             0.00033765,             0.00033765,             0.00033765
                     57,                0.67298,                 1.0736,                0.73465,                 1.0261,                0.98021,                0.96523,                0.99002,                0.87149,                0.98021,                0.96523,                0.99002,                0.81445,                0.52361,                0.80107,                0.68461,                0.92812,             0.00031744,             0.00031744,             0.00031744
                     58,                 0.6336,                 1.0386,                0.69637,                0.98679,                0.97989,                0.96716,                 0.9899,                0.87784,                0.97989,                0.96716,                0.99036,                0.82004,                0.50977,                0.79132,                 0.6693,                0.91756,             0.00029723,             0.00029723,             0.00029723
                     59,                0.68568,                 1.0328,                0.76195,                 1.0474,                0.96964,                0.97672,                0.99012,                0.88203,                0.96964,                0.97672,                0.99012,                0.82506,                0.50799,                0.78748,                0.66449,                0.91454,             0.00027702,             0.00027702,             0.00027702
                     60,                0.62488,                0.95985,                0.69271,                0.97725,                0.97127,                0.98424,                0.99087,                0.88177,                0.97127,                0.98424,                0.99087,                0.82859,                0.51005,                0.78809,                0.65005,                0.91452,             0.00025681,             0.00025681,             0.00025681
