                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3397,                 3.2376,                 3.3328,                 1.4536,                0.00649,                0.50054,                0.20604,                0.12261,                0.00313,                0.22547,                0.01868,                0.00304,                 1.0509,                 3.0013,                 3.4692,                 1.3383,             0.00046526,             0.00046526,             0.00046526
                      2,                 1.2433,                 2.5921,                 2.5041,                 1.3482,                0.51007,                 0.5278,                0.57403,                0.38725,                0.51483,                0.51532,                0.55342,                0.30562,                 1.1035,                 2.2841,                 2.3144,                 1.3876,             0.00092827,             0.00092827,             0.00092827
                      3,                 1.1451,                 2.2659,                 1.9992,                  1.314,                0.64043,                0.46321,                0.55192,                0.35826,                0.57428,                0.34655,                0.36937,                0.20792,                 1.1532,                 2.7505,                 2.1825,                 1.4192,              0.0013778,              0.0013778,              0.0013778
                      4,                 1.1242,                 2.2498,                 1.9104,                 1.2854,                0.68848,                0.50388,                0.60194,                0.40042,                0.65068,                0.48967,                0.54647,                0.26829,                 1.0968,                  2.678,                 2.0897,                 1.4175,              0.0013684,              0.0013684,              0.0013684
                      5,                 1.2295,                 2.3114,                 1.7982,                 1.3412,                0.69262,                0.64935,                0.72244,                0.50929,                0.69698,                0.64471,                 0.6942,                0.42544,                 1.0053,                  2.292,                 3.0376,                 1.3551,              0.0013684,              0.0013684,              0.0013684
                      6,                 1.1208,                 2.0143,                 1.7877,                 1.3203,                0.57954,                0.67074,                0.72385,                0.40537,                0.54397,                0.65638,                0.68143,                0.34993,                 1.2658,                 2.5514,                 2.9539,                 1.6192,              0.0013482,              0.0013482,              0.0013482
                      7,                  1.179,                 2.0516,                 1.7967,                 1.3303,                0.75782,                0.66848,                 0.7584,                0.51154,                0.75537,                0.66455,                0.75037,                0.42367,                 1.0236,                 2.0523,                 1.8767,                 1.3044,              0.0013279,              0.0013279,              0.0013279
                      8,                  1.144,                 2.0897,                 1.7921,                 1.3139,                0.90612,                0.69527,                0.90406,                0.61146,                0.90674,                0.70176,                0.89628,                0.53376,                  1.088,                 1.9006,                 1.7882,                 1.4158,              0.0013077,              0.0013077,              0.0013077
                      9,                 1.1003,                 2.0377,                  1.462,                 1.2653,                0.74752,                0.78058,                0.85811,                0.62794,                 0.7745,                 0.7404,                0.85021,                0.53839,                0.96388,                 1.8202,                 1.9471,                 1.3201,              0.0012875,              0.0012875,              0.0012875
                     10,                 1.1195,                 1.9523,                 1.4876,                 1.2703,                0.81559,                0.78509,                0.87023,                0.64596,                0.81391,                 0.7815,                0.85947,                0.52546,                0.94913,                 1.9319,                 1.8209,                 1.2884,              0.0012673,              0.0012673,              0.0012673
                     11,                 1.1822,                 2.1372,                 1.5521,                 1.3646,                0.87315,                0.78073,                0.87127,                0.63452,                0.84841,                0.75901,                 0.8435,                0.55061,                0.98983,                 1.6948,                 1.5344,                  1.331,              0.0012471,              0.0012471,              0.0012471
                     12,                 1.0754,                  1.768,                 1.4715,                 1.2583,                 0.8485,                0.81809,                0.88947,                0.66533,                0.83369,                0.79577,                0.86671,                0.60827,                0.94103,                 1.5769,                 1.5016,                 1.2921,              0.0012269,              0.0012269,              0.0012269
